Entity,Code,Year,Life expectancy,GDP per capita,145446-annotations,Population (historical estimates),Continent
Afghanistan,AFG,2010,61.028,1627.6716,,29185511,
Albania,ALB,2018,78.458,11104.1665,,2882735,
